Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
23,CA-2022-100022,2022-07-05,2022-07-11,Standard Class,CG-10022,Home Office,East,Connecticut,Furniture,Furnishings,250.11,10,0.2,-45.85
24,CA-2023-100023,2023-10-14,2023-10-14,Same Day,CG-10023,Consumer,West,Arizona,Furniture,Chairs,395.59,7,0.3,-132.5
25,CA-2024-100024,2024-06-10,2024-06-12,First Class,CG-10024,Consumer,East,Pennsylvania,Office Supplies,Storage,72.53,11,0.1,8.01
26,CA-2024-100025,2024-12-14,2024-12-20,Standard Class,CG-10025,Home Office,South,Georgia,Office Supplies,Supplies,97.52,14,0.0,22.29
27,CA-2023-100026,2023-04-02,2023-04-08,Standard Class,CG-10026,Consumer,East,Connecticut,Technology,Machines,397.81,8,0.0,67.03
28,CA-2024-100027,2024-11-16,2024-11-22,Standard Class,CG-10027,Home Office,West,Washington,Office Supplies,Appliances,59.82,14,0.0,13.6
29,CA-2021-100028,2021-02-07,2021-02-09,First Class,CG-10028,Home Office,Central,Michigan,Office Supplies,Fasteners,5.0,1,0.1,0.37
30,CA-2023-100029,2023-10-17,2023-10-23,Standard Class,CG-10029,Corporate,West,Washington,Furniture,Furnishings,78.15,13,0.4,-37.94
31,CA-2024-100030,2024-10-28,2024-10-28,Same Day,CG-10030,Home Office,East,Connecticut,Office Supplies,Storage,101.83,12,0.1,4.24
32,CA-2024-100031,2024-02-14,2024-02-17,First Class,CG-10031,Consumer,South,Louisiana,Office Supplies,Storage,5.0,6,0.1,0.42
33,CA-2024-100032,2024-09-08,2024-09-11,Second Class,CG-10032,Corporate,East,New Jersey,Furniture,Chairs,674.08,1,0.2,-133.78
34,CA-2021-100033,2021-09-03,2021-09-05,First Class,CG-10033,Consumer,East,Connecticut,Furniture,Furnishings,463.25,10,0.4,-228.05
35,CA-2021-100034,2021-02-05,2021-02-09,Second Class,CG-10034,Corporate,South,Alabama,Office Supplies,Paper,71.26,12,0.0,18.19
36,CA-2023-100035,2023-04-14,2023-04-20,Standard Class,CG-10035,Consumer,Central,Illinois,Office Supplies,Binders,65.49,10,0.0,16.65
37,CA-2023-100036,2023-12-14,2023-12-16,First Class,CG-10036,Corporate,South,Florida,Office Supplies,Appliances,161.73,14,0.0,39.7
38,CA-2023-100037,2023-05-17,2023-05-18,Same Day,CG-10037,Corporate,West,Washington,Office Supplies,Binders,5.0,3,0.2,-0.22
39,CA-2023-100038,2023-12-18,2023-12-19,Same Day,CG-10038,Consumer,South,Alabama,Furniture,Bookcases,631.4,10,0.0,79.54
40,CA-2022-100039,2022-05-28,2022-06-03,Standard Class,CG-10039,Consumer,South,Tennessee,Furniture,Tables,425.9,5,0.2,-56.5
41,CA-2023-100040,2023-05-11,2023-05-16,Standard Class,CG-10040,Consumer,Central,Wisconsin,Furniture,Bookcases,283.53,5,0.0,44.28
42,CA-2024-100041,2024-08-05,2024-08-11,Standard Class,CG-10041,Consumer,West,Colorado,Office Supplies,Supplies,55.13,13,0.1,6.76
43,CA-2023-100042,2023-11-06,2023-11-11,Standard Class,CG-10042,Consumer,Central,Missouri,Office Supplies,Labels,122.3,2,0.1,12.69
44,CA-2022-100043,2022-01-15,2022-01-18,First Class,CG-10043,Consumer,West,Oregon,Technology,Phones,911.66,11,0.2,-97.18
45,CA-2021-100044,2021-10-12,2021-10-17,Standard Class,CG-10044,Consumer,East,Virginia,Furniture,Bookcases,456.68,8,0.0,37.14
46,CA-2023-100045,2023-08-28,2023-09-03,Standard Class,CG-10045,Consumer,Central,Wisconsin,Technology,Copiers,560.66,13,0.1,5.17
47,CA-2024-100046,2024-12-14,2024-12-20,Standard Class,CG-10046,Consumer,West,Utah,Technology,Machines,1315.24,3,0.1,-34.5
48,CA-2023-100047,2023-09-05,2023-09-07,First Class,CG-10047,Consumer,East,Pennsylvania,Office Supplies,Labels,5.0,7,0.2,-0.2
49,CA-2023-100048,2023-05-17,2023-05-23,Standard Class,CG-10048,Consumer,East,Massachusetts,Technology,Accessories,164.57,1,0.3,-39.75
50,CA-2022-100049,2022-01-31,2022-02-05,Standard Class,CG-10049,Home Office,Central,Michigan,Technology,Accessories,446.61,10,0.0,83.97
51,CA-2021-100050,2021-05-24,2021-05-29,Standard Class,CG-10050,Consumer,West,Oregon,Furniture,Furnishings,674.27,9,0.2,-118.84
52,CA-2021-100051,2021-04-19,2021-04-20,Same Day,CG-10051,Home Office,East,New York,Technology,Copiers,1216.15,9,0.4,-496.02
53,CA-2023-100052,2023-08-12,2023-08-18,Standard Class,CG-10052,Corporate,West,California,Furniture,Tables,228.68,10,0.3,-78.64
54,CA-2021-100053,2021-01-29,2021-02-03,Standard Class,CG-10053,Consumer,West,Utah,Technology,Copiers,919.46,9,0.4,-399.34
55,CA-2024-100054,2024-03-01,2024-03-06,Standard Class,CG-10054,Consumer,East,Connecticut,Office Supplies,Storage,158.48,3,0.0,35.44
56,CA-2024-100055,2024-02-24,2024-03-01,Standard Class,CG-10055,Consumer,East,New Jersey,Furniture,Tables,440.36,13,0.2,-99.0
57,CA-2021-100056,2021-07-09,2021-07-15,Standard Class,CG-10056,Consumer,East,Massachusetts,Office Supplies,Envelopes,5.0,13,0.3,-0.83
58,CA-2021-100057,2021-06-22,2021-06-27,Standard Class,CG-10057,Consumer,Central,Michigan,Technology,Machines,613.13,9,0.1,19.39
59,CA-2024-100058,2024-03-12,2024-03-18,Standard Class,CG-10058,Consumer,South,Alabama,Office Supplies,Storage,47.23,8,0.1,6.11
60,CA-2024-100059,2024-10-03,2024-10-09,Standard Class,CG-10059,Corporate,West,Washington,Office Supplies,Envelopes,5.0,11,0.0,1.05
61,CA-2023-100060,2023-08-17,2023-08-20,First Class,CG-10060,Corporate,West,Oregon,Furniture,Bookcases,98.44,13,0.4,-47.77
62,CA-2023-100061,2023-06-02,2023-06-07,Standard Class,CG-10061,Corporate,East,Massachusetts,Office Supplies,Envelopes,137.56,1,0.5,-70.72
63,CA-2023-100062,2023-05-03,2023-05-05,First Class,CG-10062,Corporate,West,California,Office Supplies,Appliances,6.41,1,0.0,1.62
64,CA-2023-100063,2023-04-03,2023-04-04,Same Day,CG-10063,Home Office,East,New York,Technology,Accessories,402.36,5,0.2,-47.72
65,CA-2021-100064,2021-03-24,2021-03-30,Standard Class,CG-10064,Consumer,Central,Texas,Office Supplies,Supplies,63.42,1,0.0,16.83
66,CA-2021-100065,2021-02-03,2021-02-06,Second Class,CG-10065,Consumer,East,New Jersey,Furniture,Tables,784.32,12,0.1,-36.49
67,CA-2023-100066,2023-12-14,2023-12-17,Second Class,CG-10066,Home Office,East,Massachusetts,Furniture,Chairs,332.29,5,0.0,58.54
68,CA-2022-100067,2022-08-01,2022-08-04,Second Class,CG-10067,Corporate,South,North Carolina,Technology,Phones,424.33,11,0.1,15.79
69,CA-2022-100068,2022-03-23,2022-03-28,Standard Class,CG-10068,Corporate,South,North Carolina,Office Supplies,Art,36.57,1,0.1,4.24
70,CA-2023-100069,2023-03-08,2023-03-14,Standard Class,CG-10069,Consumer,West,Colorado,Technology,Phones,273.38,5,0.5,-169.48
71,CA-2021-100070,2021-07-24,2021-07-30,Standard Class,CG-10070,Consumer,Central,Michigan,Office Supplies,Paper,5.0,11,0.1,0.8
72,CA-2023-100071,2023-06-19,2023-06-21,First Class,CG-10071,Consumer,South,Louisiana,Office Supplies,Appliances,198.86,10,0.0,47.81
73,CA-2024-100072,2024-11-27,2024-12-03,Standard Class,CG-10072,Home Office,West,California,Office Supplies,Paper,80.56,12,0.1,6.87
74,CA-2023-100073,2023-12-06,2023-12-09,Second Class,CG-10073,Consumer,Central,Missouri,Office Supplies,Art,28.02,13,0.3,-5.42
75,CA-2023-100074,2023-11-16,2023-11-22,Standard Class,CG-10074,Home Office,East,Pennsylvania,Furniture,Chairs,496.65,14,0.4,-243.62
76,CA-2021-100075,2021-01-28,2021-01-31,Second Class,CG-10075,Consumer,South,North Carolina,Office Supplies,Paper,95.36,12,0.1,10.43
77,CA-2024-100076,2024-07-21,2024-07-26,Standard Class,CG-10076,Consumer,East,New Jersey,Office Supplies,Storage,5.0,9,0.0,1.04
78,CA-2024-100077,2024-06-08,2024-06-13,Standard Class,CG-10077,Consumer,East,New York,Office Supplies,Storage,30.52,9,0.0,5.7
79,CA-2024-100078,2024-03-15,2024-03-20,Standard Class,CG-10078,Consumer,West,California,Office Supplies,Supplies,24.16,9,0.0,7.19
80,CA-2022-100079,2022-11-23,2022-11-28,Standard Class,CG-10079,Corporate,West,California,Office Supplies,Envelopes,78.94,6,0.0,20.04
81,CA-2022-100080,2022-09-16,2022-09-22,Standard Class,CG-10080,Consumer,East,Virginia,Furniture,Tables,391.59,4,0.0,29.4
82,CA-2024-100081,2024-05-31,2024-06-02,First Class,CG-10081,Home Office,South,North Carolina,Office Supplies,Paper,180.66,2,0.3,-36.54
83,CA-2022-100082,2022-12-16,2022-12-20,Second Class,CG-10082,Corporate,West,Washington,Furniture,Tables,331.92,1,0.0,23.21
84,CA-2021-100083,2021-04-23,2021-04-26,Second Class,CG-10083,Corporate,West,Nevada,Office Supplies,Fasteners,55.91,13,0.4,-21.04
85,CA-2021-100084,2021-09-16,2021-09-21,Standard Class,CG-10084,Consumer,South,Georgia,Office Supplies,Paper,129.84,5,0.0,30.21
86,CA-2023-100085,2023-02-24,2023-02-28,Second Class,CG-10085,Consumer,South,North Carolina,Office Supplies,Envelopes,40.08,12,0.3,-7.82
87,CA-2021-100086,2021-11-30,2021-12-06,Standard Class,CG-10086,Home Office,Central,Illinois,Technology,Accessories,860.65,12,0.2,-108.16
88,CA-2024-100087,2024-10-04,2024-10-10,Standard Class,CG-10087,Consumer,West,Colorado,Technology,Machines,288.68,11,0.3,-80.71
89,CA-2024-100088,2024-12-04,2024-12-09,Standard Class,CG-10088,Home Office,West,California,Furniture,Tables,349.78,3,0.2,-49.94
90,CA-2022-100089,2022-02-26,2022-03-04,Standard Class,CG-10089,Corporate,East,New York,Office Supplies,Supplies,5.0,5,0.1,0.26
91,CA-2021-100090,2021-04-14,2021-04-16,First Class,CG-10090,Corporate,West,Utah,Furniture,Chairs,5.0,13,0.0,0.67
92,CA-2022-100091,2022-04-23,2022-04-29,Standard Class,CG-10091,Home Office,West,Arizona,Technology,Accessories,5.0,14,0.2,-0.72
93,CA-2022-100092,2022-08-21,2022-08-25,Second Class,CG-10092,Corporate,East,Virginia,Office Supplies,Art,61.09,13,0.0,13.54
94,CA-2023-100093,2023-08-06,2023-08-11,Standard Class,CG-10093,Consumer,East,Massachusetts,Technology,Accessories,740.64,3,0.2,-109.37
95,CA-2024-100094,2024-08-08,2024-08-10,First Class,CG-10094,Corporate,West,Nevada,Office Supplies,Supplies,47.16,7,0.0,12.25
96,CA-2021-100095,2021-12-12,2021-12-17,Standard Class,CG-10095,Home Office,Central,Ohio,Furniture,Chairs,1174.81,12,0.0,122.04
97,CA-2023-100096,2023-10-01,2023-10-03,First Class,CG-10096,Corporate,Central,Illinois,Office Supplies,Fasteners,5.0,10,0.1,0.57
98,CA-2023-100097,2023-10-11,2023-10-13,First Class,CG-10097,Consumer,South,North Carolina,Furniture,Furnishings,202.32,7,0.0,17.23
99,CA-2023-100098,2023-10-22,2023-10-27,Standard Class,CG-10098,Home Office,South,Georgia,Office Supplies,Art,18.23,4,0.0,4.49
100,CA-2021-100099,2021-04-27,2021-05-02,Standard Class,CG-10099,Corporate,West,Nevada,Furniture,Bookcases,5.0,11,0.4,-2.92
101,CA-2023-100100,2023-05-26,2023-06-01,Standard Class,CG-10100,Home Office,West,Arizona,Furniture,Chairs,640.87,10,0.0,50.66
102,CA-2023-100101,2023-12-09,2023-12-14,Standard Class,CG-10101,Consumer,Central,Illinois,Technology,Machines,200.4,1,0.5,-115.22
103,CA-2024-100102,2024-03-10,2024-03-14,Second Class,CG-10102,Consumer,West,Washington,Office Supplies,Labels,23.64,13,0.1,0.86
104,CA-2024-100103,2024-03-13,2024-03-17,Second Class,CG-10103,Corporate,Central,Illinois,Furniture,Tables,738.8,2,0.0,14.94
105,CA-2023-100104,2023-08-05,2023-08-08,First Class,CG-10104,Consumer,Central,Wisconsin,Furniture,Bookcases,308.03,14,0.0,35.68
106,CA-2024-100105,2024-11-04,2024-11-07,First Class,CG-10105,Corporate,Central,Minnesota,Technology,Accessories,444.43,3,0.1,26.99
107,CA-2022-100106,2022-03-19,2022-03-25,Standard Class,CG-10106,Consumer,East,New Jersey,Office Supplies,Art,122.4,8,0.1,12.87
108,CA-2021-100107,2021-04-06,2021-04-08,First Class,CG-10107,Home Office,West,Colorado,Office Supplies,Supplies,35.69,2,0.0,7.79
109,CA-2021-100108,2021-11-26,2021-12-01,Standard Class,CG-10108,Consumer,East,New Jersey,Furniture,Furnishings,581.32,2,0.0,36.31
110,CA-2023-100109,2023-03-26,2023-03-29,First Class,CG-10109,Corporate,East,Connecticut,Office Supplies,Labels,31.95,5,0.3,-6.48
111,CA-2024-100110,2024-07-03,2024-07-09,Standard Class,CG-10110,Corporate,East,Connecticut,Office Supplies,Fasteners,123.03,1,0.2,-6.27
112,CA-2024-100111,2024-02-13,2024-02-17,Second Class,CG-10111,Consumer,South,Georgia,Office Supplies,Appliances,5.0,14,0.1,0.43
113,CA-2022-100112,2022-10-28,2022-11-02,Standard Class,CG-10112,Corporate,West,Colorado,Furniture,Tables,432.84,1,0.0,30.58
114,CA-2024-100113,2024-03-22,2024-03-28,Standard Class,CG-10113,Consumer,Central,Texas,Office Supplies,Appliances,25.3,11,0.0,5.84
115,CA-2022-100114,2022-09-02,2022-09-08,Standard Class,CG-10114,Corporate,Central,Missouri,Office Supplies,Binders,48.33,10,0.0,13.25
116,CA-2021-100115,2021-05-10,2021-05-15,Standard Class,CG-10115,Consumer,Central,Illinois,Office Supplies,Storage,5.0,8,0.0,1.34
117,CA-2022-100116,2022-11-07,2022-11-13,Standard Class,CG-10116,Corporate,South,Alabama,Furniture,Bookcases,1072.77,5,0.4,-546.19
118,CA-2024-100117,2024-08-05,2024-08-11,Standard Class,CG-10117,Consumer,West,California,Office Supplies,Binders,71.52,11,0.4,-24.53
119,CA-2021-100118,2021-07-20,2021-07-25,Standard Class,CG-10118,Corporate,West,Utah,Furniture,Furnishings,340.2,10,0.2,-49.97
120,CA-2023-100119,2023-11-29,2023-12-04,Standard Class,CG-10119,Consumer,East,Virginia,Furniture,Chairs,403.82,1,0.3,-149.32
121,CA-2023-100120,2023-11-07,2023-11-12,Standard Class,CG-10120,Home Office,West,Oregon,Office Supplies,Labels,151.52,5,0.2,-7.03
122,CA-2022-100121,2022-01-09,2022-01-11,First Class,CG-10121,Corporate,West,Oregon,Technology,Copiers,1009.68,10,0.0,212.9
123,CA-2024-100122,2024-08-04,2024-08-09,Standard Class,CG-10122,Corporate,East,Connecticut,Technology,Accessories,768.32,5,0.0,141.38
124,CA-2021-100123,2021-05-17,2021-05-23,Standard Class,CG-10123,Consumer,Central,Missouri,Furniture,Tables,533.93,3,0.0,66.07
125,CA-2022-100124,2022-09-07,2022-09-12,Standard Class,CG-10124,Consumer,East,Pennsylvania,Office Supplies,Binders,5.0,12,0.2,-0.06
126,CA-2022-100125,2022-05-12,2022-05-15,Second Class,CG-10125,Corporate,East,Virginia,Office Supplies,Appliances,5.0,2,0.3,-0.89
127,CA-2023-100126,2023-01-09,2023-01-12,First Class,CG-10126,Home Office,East,Connecticut,Furniture,Furnishings,549.75,7,0.2,-109.17
128,CA-2021-100127,2021-01-29,2021-02-04,Standard Class,CG-10127,Corporate,South,Louisiana,Office Supplies,Envelopes,119.39,10,0.5,-58.57
129,CA-2023-100128,2023-07-10,2023-07-14,Second Class,CG-10128,Consumer,Central,Illinois,Office Supplies,Art,54.38,2,0.0,13.38
130,CA-2021-100129,2021-05-26,2021-06-01,Standard Class,CG-10129,Consumer,South,Florida,Furniture,Tables,340.29,8,0.0,36.42
131,CA-2024-100130,2024-03-09,2024-03-14,Standard Class,CG-10130,Home Office,East,Pennsylvania,Technology,Phones,523.3,8,0.3,-140.5
132,CA-2023-100131,2023-12-22,2023-12-22,Same Day,CG-10131,Corporate,Central,Ohio,Furniture,Chairs,816.79,10,0.1,-1.12
133,CA-2021-100132,2021-08-14,2021-08-14,Same Day,CG-10132,Consumer,East,New York,Furniture,Chairs,481.2,7,0.1,-16.72
134,CA-2024-100133,2024-01-28,2024-02-03,Standard Class,CG-10133,Corporate,South,Georgia,Office Supplies,Fasteners,5.0,3,0.5,-2.02
135,CA-2023-100134,2023-02-20,2023-02-25,Standard Class,CG-10134,Consumer,West,Utah,Office Supplies,Fasteners,5.0,3,0.3,-0.98
136,CA-2023-100135,2023-09-15,2023-09-17,First Class,CG-10135,Consumer,Central,Minnesota,Furniture,Tables,358.67,11,0.4,-181.36
137,CA-2024-100136,2024-06-03,2024-06-09,Standard Class,CG-10136,Consumer,Central,Texas,Office Supplies,Art,52.68,12,0.0,16.01
138,CA-2023-100137,2023-08-31,2023-09-06,Standard Class,CG-10137,Home Office,Central,Illinois,Technology,Machines,419.47,3,0.4,-163.21
139,CA-2023-100138,2023-11-30,2023-12-05,Standard Class,CG-10138,Corporate,West,California,Office Supplies,Paper,93.8,1,0.2,-3.83
140,CA-2023-100139,2023-03-27,2023-03-30,Second Class,CG-10139,Corporate,Central,Minnesota,Technology,Machines,853.83,7,0.2,-63.23
141,CA-2022-100140,2022-07-11,2022-07-14,First Class,CG-10140,Home Office,South,Alabama,Furniture,Bookcases,246.31,2,0.2,-55.42
142,CA-2024-100141,2024-07-05,2024-07-11,Standard Class,CG-10141,Home Office,South,Alabama,Office Supplies,Envelopes,112.24,1,0.5,-61.14
143,CA-2024-100142,2024-05-31,2024-06-03,First Class,CG-10142,Consumer,Central,Texas,Furniture,Tables,240.54,9,0.0,19.22
144,CA-2023-100143,2023-09-21,2023-09-24,First Class,CG-10143,Consumer,West,Arizona,Office Supplies,Supplies,28.15,1,0.0,7.2
145,CA-2023-100144,2023-07-07,2023-07-12,Standard Class,CG-10144,Corporate,East,New Jersey,Office Supplies,Paper,196.43,12,0.1,15.28
146,CA-2021-100145,2021-01-29,2021-02-04,Standard Class,CG-10145,Consumer,West,Colorado,Office Supplies,Labels,106.25,14,0.0,30.0
147,CA-2024-100146,2024-08-01,2024-08-03,First Class,CG-10146,Home Office,Central,Minnesota,Furniture,Bookcases,713.62,2,0.0,73.67
148,CA-2023-100147,2023-09-01,2023-09-04,First Class,CG-10147,Consumer,Central,Wisconsin,Furniture,Furnishings,498.64,4,0.3,-170.88
149,CA-2024-100148,2024-11-11,2024-11-15,Second Class,CG-10148,Consumer,South,Georgia,Office Supplies,Paper,22.38,8,0.3,-4.05
150,CA-2024-100149,2024-07-18,2024-07-23,Standard Class,CG-10149,Consumer,Central,Wisconsin,Office Supplies,Binders,43.89,7,0.1,2.83
151,CA-2021-100150,2021-12-15,2021-12-17,First Class,CG-10150,Consumer,East,Virginia,Furniture,Tables,839.78,14,0.0,96.36
152,CA-2024-100151,2024-07-20,2024-07-25,Standard Class,CG-10151,Corporate,East,Massachusetts,Furniture,Furnishings,189.31,5,0.2,-40.5
153,CA-2022-100152,2022-01-21,2022-01-26,Standard Class,CG-10152,Corporate,South,Alabama,Furniture,Bookcases,223.35,11,0.1,-27.41
154,CA-2022-100153,2022-12-30,2023-01-05,Standard Class,CG-10153,Home Office,Central,Ohio,Technology,Copiers,124.86,9,0.0,22.3
155,CA-2022-100154,2022-08-15,2022-08-20,Standard Class,CG-10154,Consumer,South,Alabama,Furniture,Furnishings,367.5,14,0.3,-137.23
156,CA-2022-100155,2022-08-12,2022-08-18,Standard Class,CG-10155,Consumer,South,Tennessee,Office Supplies,Storage,180.84,2,0.3,-32.69
157,CA-2023-100156,2023-06-06,2023-06-12,Standard Class,CG-10156,Corporate,East,Massachusetts,Technology,Phones,494.76,9,0.1,27.91
158,CA-2022-100157,2022-12-17,2022-12-20,First Class,CG-10157,Home Office,East,Connecticut,Office Supplies,Art,150.47,4,0.0,35.2
159,CA-2023-100158,2023-06-19,2023-06-24,Standard Class,CG-10158,Corporate,Central,Wisconsin,Technology,Machines,1158.54,12,0.1,18.76
160,CA-2024-100159,2024-08-17,2024-08-23,Standard Class,CG-10159,Corporate,West,Utah,Office Supplies,Envelopes,94.98,3,0.0,24.82
161,CA-2023-100160,2023-07-03,2023-07-08,Standard Class,CG-10160,Corporate,Central,Illinois,Office Supplies,Envelopes,5.0,13,0.0,1.25
162,CA-2024-100161,2024-05-15,2024-05-18,First Class,CG-10161,Consumer,East,New York,Office Supplies,Appliances,120.3,4,0.0,33.23
163,CA-2024-100162,2024-10-19,2024-10-25,Standard Class,CG-10162,Corporate,East,Virginia,Office Supplies,Art,240.95,2,0.0,63.22
164,CA-2022-100163,2022-08-01,2022-08-04,Second Class,CG-10163,Corporate,South,Tennessee,Technology,Copiers,5.0,5,0.0,0.67
165,CA-2023-100164,2023-05-17,2023-05-20,Second Class,CG-10164,Corporate,South,Tennessee,Office Supplies,Paper,5.0,5,0.1,0.72
166,CA-2023-100165,2023-10-02,2023-10-08,Standard Class,CG-10165,Consumer,East,Pennsylvania,Furniture,Bookcases,809.83,7,0.2,-118.13
167,CA-2024-100166,2024-03-14,2024-03-20,Standard Class,CG-10166,Consumer,West,Utah,Technology,Phones,5.0,8,0.2,-0.43
168,CA-2021-100167,2021-10-28,2021-10-31,First Class,CG-10167,Consumer,East,Pennsylvania,Furniture,Tables,5.0,12,0.0,0.4
169,CA-2024-100168,2024-10-16,2024-10-19,Second Class,CG-10168,Consumer,West,Arizona,Furniture,Chairs,143.25,9,0.0,16.56
170,CA-2022-100169,2022-11-18,2022-11-20,First Class,CG-10169,Corporate,West,Nevada,Office Supplies,Binders,102.39,12,0.3,-16.49
171,CA-2023-100170,2023-08-15,2023-08-20,Standard Class,CG-10170,Consumer,South,Louisiana,Technology,Machines,5.0,11,0.0,0.99
172,CA-2024-100171,2024-03-30,2024-04-05,Standard Class,CG-10171,Consumer,South,Alabama,Furniture,Tables,606.57,11,0.0,66.96
173,CA-2023-100172,2023-07-08,2023-07-14,Standard Class,CG-10172,Corporate,South,North Carolina,Furniture,Tables,660.29,7,0.0,45.43
174,CA-2024-100173,2024-09-26,2024-10-01,Standard Class,CG-10173,Consumer,South,Georgia,Office Supplies,Envelopes,46.05,7,0.2,-2.0
175,CA-2024-100174,2024-05-26,2024-06-01,Standard Class,CG-10174,Consumer,Central,Missouri,Furniture,Tables,401.46,11,0.2,-78.28
176,CA-2021-100175,2021-12-11,2021-12-17,Standard Class,CG-10175,Corporate,East,New Jersey,Office Supplies,Storage,5.0,10,0.2,-0.01
177,CA-2024-100176,2024-05-28,2024-06-03,Standard Class,CG-10176,Consumer,West,Colorado,Office Supplies,Fasteners,31.58,11,0.0,8.09
178,CA-2024-100177,2024-11-05,2024-11-11,Standard Class,CG-10177,Corporate,East,New Jersey,Technology,Machines,915.46,14,0.0,154.03
179,CA-2022-100178,2022-03-31,2022-04-05,Standard Class,CG-10178,Consumer,Central,Wisconsin,Office Supplies,Art,166.62,9,0.0,37.42
180,CA-2021-100179,2021-11-01,2021-11-07,Standard Class,CG-10179,Corporate,East,Pennsylvania,Office Supplies,Envelopes,5.0,2,0.1,0.55
181,CA-2023-100180,2023-10-24,2023-10-27,First Class,CG-10180,Corporate,South,Louisiana,Technology,Copiers,5.0,11,0.0,0.93
182,CA-2021-100181,2021-12-09,2021-12-09,Same Day,CG-10181,Corporate,East,New York,Office Supplies,Paper,59.31,4,0.4,-20.06
183,CA-2021-100182,2021-05-21,2021-05-26,Standard Class,CG-10182,Consumer,South,Georgia,Furniture,Tables,106.24,12,0.0,7.49
184,CA-2024-100183,2024-03-13,2024-03-18,Standard Class,CG-10183,Consumer,South,Florida,Office Supplies,Envelopes,5.0,7,0.3,-0.99
185,CA-2021-100184,2021-06-08,2021-06-13,Standard Class,CG-10184,Corporate,South,Tennessee,Furniture,Bookcases,741.28,8,0.1,-38.73
186,CA-2024-100185,2024-10-17,2024-10-21,Second Class,CG-10185,Consumer,South,Tennessee,Furniture,Bookcases,1090.89,10,0.2,-204.66
187,CA-2022-100186,2022-01-13,2022-01-16,Second Class,CG-10186,Consumer,Central,Ohio,Technology,Phones,5.0,8,0.0,0.96
